canonical,formula,natural,raw_ltl
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go to the blue room keep going and stop when you reach the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go to the green room via the blue room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue room into the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go over towards the blue room and up through it to the green rectanglular room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue to get to the green,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through blue room to green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",follow the path through the blue room to get to the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through the blue room to the green room,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",go through blue rooms to get to the green one,F & B F C
"finally ( and (  go to the blue room , finally ( go to the green room )  )  )","finally ( and (  go to the blue room , finally ( go to the green room )  )  )",take the blue room first which leads to the green room,F & B F C
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move through the green rooms to get to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go from the pink room to the blue room by going through the green room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green room to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",pass through the small green room to get to the large blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move to the blue room by going through the green room first,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",move into the blue room through the green room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",travel through the green room to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green box to get to the blue area,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",go through the green room in to the blue room,F & C F B
"finally ( and (  go to the green room , finally ( go to the blue room )  )  )","finally ( and (  go to the green room , finally ( go to the blue room )  )  )",enter blue room through green room,F & C F B
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,go to the red room,F R
finally go to the red room,finally go to the red room,go to the red room,F R
finally go to the red room,finally go to the red room,move from your room to the red room,F R
finally go to the red room,finally go to the red room,move to the red room,F R
finally go to the red room,finally go to the red room,go in to the pink room,F R
finally go to the red room,finally go to the red room,go to the pink room,F R
finally go to the red room,finally go to the red room,move into the red room and stay on the first square you end up on,F R
finally go to the red room,finally go to the red room,go to pink room,F R
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go only through rooms that are not yellow to get to the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",make your way to the green room while avoiding the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",proceed to green area while avoiding the yellow area,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",move through the room that isn t yellow into the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go to green area avoiding yellow area,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",don t go through the yellow room while going to the green room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go into the green room without crossing the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",move to the green room but don t go through the yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",the robot is to move towards the green room without entering a yellow room,& F C G ! Y
"and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the yellow room ) ) )",go to the green room without entering a yellow room,& F C G ! Y
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room and push the chair back into the purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go to the red room and push the chair in front of the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go to red room get the chair go back to purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move to the red room retrieve the chair and push it back to the the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room and then push the chair into the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move into the red room get to the left of the chair and push the chair back up into the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",bring the chair in the red room back to the purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",move to the red room push the chair to the blue room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go into the red room find the chair and bring it back into the purple room,F & R F X
"finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the blue room with chair )  )  )",go to red room push chair to blue room,F & R F X
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the yellow or red room to reach the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go the red or yellow room into the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",move the robot from the pink room to the yellow or red room to the big blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the red or yellow room to reach the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the passage into the blue room but only if you go through a yellow or red room first,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",move to the blue room by going through red or yellow only,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",enter the yellow or red room and then continue to the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the red or yellow room and go to the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the red or yellow to get to the blue room,F & | R Y F B
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the yellow or red room and enter the blue room,F & | R Y F B
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go from the blue room to the red room then go from the red room to the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go from the blue room to the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go to red room and then green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go into the red room and then go into the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go to the red room then go to the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go to the red room go to the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",go to red room go to green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",move to the red room then go to the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",enter the red room then enter the green room,F & R F C
"finally ( and (  go to the red room , finally ( go to the green room )  )  )","finally ( and (  go to the red room , finally ( go to the green room )  )  )",move to the red room move to the green room,F & R F C
finally go to the green room,finally go to the green room,move to the green room,F C
finally go to the green room,finally go to the green room,move to the green room,F C
finally go to the green room,finally go to the green room,go to the green room,F C
finally go to the green room,finally go to the green room,go to the green room,F C
finally go to the green room,finally go to the green room,go to the green room,F C
finally go to the green room,finally go to the green room,move to the green room,F C
finally go to the green room,finally go to the green room,go in and then go into the green room,F C
finally go to the green room,finally go to the green room,move to the green room,F C
finally go to the green room,finally go to the green room,go in and then go to the green room,F C
finally go to the green room,finally go to the green room,move to the green room,F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",move to yellow or red room them move to green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",the robot has to go through the red or yellow room to get to the green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",go through the yellow or red room and enter the green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",go through the yellow or red room into the green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",go thru the yellow or red box to get to the green box,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",go through either the red or the yellow room to get to the green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",get to the green room through red or yellow rooms only,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",move the robot through the yellow or red small room and then to the large green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",go through the yellow and red room to the green room,F & | R Y F C
"finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the yellow room ) , finally ( go to the green room ) ) )",enter the yellow or red room and proceed to the green room,F & | R Y F C
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",move through the yellow or green room to the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go green or yellow to blue,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go green to blue or yellow to blue,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",move through the green or yellow rooms and enter the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the yellow or green room to get to the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the green or yellow room to get to the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go to green or yellow room to blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",go through the yellow or green room to get to the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",pass through the green or yellow room and enter into the blue room,F & | C Y F B
"finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the green room , go to the yellow room ) , finally ( go to the blue room ) ) )",move through the yellow or green room to the blue room,F & | C Y F B
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",while avoiding the red room follow the shortest path to the blue room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",go to the blue room but do not pass through the red room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",head to the blue rectangular room without passing through a red square room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",go into the blue room without going through the red room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",move to blue room but don t go through the red room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",go to the blue room but do not use the red room to get there,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",enter the blue room without crossing the red room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",avoid the red room and move to the blue room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",go through room that is not red to get to blue room,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the red room ) ) )",go to blue but not through red,& F B G ! R
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go through square that is not green to get the blue rectangular,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go to blue but not through green,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go through the room that is not green to get to the blue room,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go to the blue room but avoid the green room,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go to blue without going to green,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",enter the blue room without crossing the green one,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",enter the blue room without entering a green room,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",go to blue room avoiding green,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",walk to the blue room while avoiding the green room,& F B G ! C
"and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the green room ) ) )",walk through any room except the green room to enter the blue room,& F B G ! C
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go to the red room move chair to the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",push the object in the red room into the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go to the red room and push the chair into the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go to the red room and then go to the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go into the pink room retrieve the yellow object move it to the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",push chair from red room to green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",push the object from the red room into the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go to the pink room push the yellow object into the green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go to pink room and push yellow object into green room,F & R F Z
"finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )","finally ( and (  go to the red room , finally ( go to the green room with chair )  )  )",go into the red room and push the object into the green room,F & R F Z
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",go to the green room but avoid the blue room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",go to green without going through blue,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",enter the green room without passing the blue one,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room and move to the green room,& F C G ! B
