canonical,formula,natural,raw_ltl
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room to get to the green room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",pass through the non blue room to reach the green room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room when proceeding to the green room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",go to the green room but avoid using the blue room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",go to the green room but don t go through the blue room,& F C G ! B
"and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the blue room ) ) )",enter the room that isn t blue then go to the green room,& F C G ! B
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go to the green room through the red or blue room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go to red or blue then green,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",avoid the yellow room and enter the green room through either the red or blue room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go to the blue room or the red room and head straight away to the green room avoiding the yellow room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go to the green room either through the red room or through the blue room only,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go through either a red or blue room to enter the green room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go through the blue room or the red room to get to the green room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",go thru the blue or red box to get to the green box,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",pass through either the blue or red room to reach the green room,F & | R B F C
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the green room ) ) )",move from the pink box into the green box by way of the blue or red box avoiding the yellow box,F & | R B F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go to the yellow room keep going and stop when you reach the green room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go to the green room via the yellow room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go through the yellow room into the green room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go over towards the yellow room and up through it to the green rectanglular room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go through the yellow to get to the green,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go through yellow room to green room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",follow the path through the yellow room to get to the green room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go through the yellow room to the green room,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",go through yellow rooms to get to the green one,F & Y F C
"finally ( and (  go to the yellow room , finally ( go to the green room )  )  )","finally ( and (  go to the yellow room , finally ( go to the green room )  )  )",take the yellow room first which leads to the green room,F & Y F C
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go to the blue room keep going and stop when you reach the red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go to the red room via the blue room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go through the blue room into the red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go over towards the blue room and up through it to the red rectanglular room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go through the blue to get to the red,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go through blue room to red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",follow the path through the blue room to get to the red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go through the blue room to the red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",go through blue rooms to get to the red one,F & B F R
"finally ( and (  go to the blue room , finally ( go to the red room )  )  )","finally ( and (  go to the blue room , finally ( go to the red room )  )  )",take the blue room first which leads to the red room,F & B F R
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go to the blue room keep going and stop when you reach the yellow room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go to the yellow room via the blue room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go through the blue room into the yellow room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go over towards the blue room and up through it to the yellow rectanglular room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go through the blue to get to the yellow,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go through blue room to yellow room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",follow the path through the blue room to get to the yellow room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go through the blue room to the yellow room,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",go through blue rooms to get to the yellow one,F & B F Y
"finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )","finally ( and (  go to the blue room , finally ( go to the yellow room )  )  )",take the blue room first which leads to the yellow room,F & B F Y
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",move through the red rooms to get to the blue room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",go from the pink room to the blue room by going through the red room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",go through the red room to the blue room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",pass through the small red room to get to the large blue room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",move to the blue room by going through the red room first,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",move into the blue room through the red room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",travel through the red room to the blue room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",go through the red box to get to the blue area,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",go through the red room in to the blue room,F & R F B
"finally ( and (  go to the red room , finally ( go to the blue room )  )  )","finally ( and (  go to the red room , finally ( go to the blue room )  )  )",enter blue room through red room,F & R F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",move through the yellow rooms to get to the blue room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",go from the pink room to the blue room by going through the yellow room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",go through the yellow room to the blue room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",pass through the small yellow room to get to the large blue room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",move to the blue room by going through the yellow room first,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",move into the blue room through the yellow room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",travel through the yellow room to the blue room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",go through the yellow box to get to the blue area,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",go through the yellow room in to the blue room,F & Y F B
"finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )","finally ( and (  go to the yellow room , finally ( go to the blue room )  )  )",enter blue room through yellow room,F & Y F B
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",move through the green rooms to get to the red room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",go from the pink room to the red room by going through the green room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",go through the green room to the red room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",pass through the small green room to get to the large red room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",move to the red room by going through the green room first,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",move into the red room through the green room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",travel through the green room to the red room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",go through the green box to get to the red area,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",go through the green room in to the red room,F & C F R
"finally ( and (  go to the green room , finally ( go to the red room )  )  )","finally ( and (  go to the green room , finally ( go to the red room )  )  )",enter red room through green room,F & C F R
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",move through the green rooms to get to the yellow room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",go from the pink room to the yellow room by going through the green room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",go through the green room to the yellow room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",pass through the small green room to get to the large yellow room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",move to the yellow room by going through the green room first,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",move into the yellow room through the green room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",travel through the green room to the yellow room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",go through the green box to get to the yellow area,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",go through the green room in to the yellow room,F & C F Y
"finally ( and (  go to the green room , finally ( go to the yellow room )  )  )","finally ( and (  go to the green room , finally ( go to the yellow room )  )  )",enter yellow room through green room,F & C F Y
finally go to the blue room,finally go to the blue room,move to the blue room,F B
finally go to the blue room,finally go to the blue room,move to the blue room,F B
finally go to the blue room,finally go to the blue room,go to the blue room,F B
finally go to the blue room,finally go to the blue room,go to the blue room,F B
finally go to the blue room,finally go to the blue room,move from your room to the blue room,F B
finally go to the blue room,finally go to the blue room,move to the blue room,F B
finally go to the blue room,finally go to the blue room,go in to the blue room,F B
finally go to the blue room,finally go to the blue room,go to the blue room,F B
finally go to the blue room,finally go to the blue room,move into the blue room and stay on the first square you end up on,F B
finally go to the blue room,finally go to the blue room,go to blue room,F B
finally go to the yellow room,finally go to the yellow room,move to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,move to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,go to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,go to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,move from your room to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,move to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,go in to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,go to the yellow room,F Y
finally go to the yellow room,finally go to the yellow room,move into the yellow room and stay on the first square you end up on,F Y
finally go to the yellow room,finally go to the yellow room,go to yellow room,F Y
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",go only through rooms that are not red to get to the green room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",make your way to the green room while avoiding the red room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",proceed to green area while avoiding the red area,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",move through the room that isn t red into the green room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",go to green area avoiding red area,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",don t go through the red room while going to the green room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",go into the green room without crossing the red room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",move to the green room but don t go through the red room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",the robot is to move towards the green room without entering a red room,& F C G ! R
"and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )","and ( finally ( go to the green room ) , globally ( not ( go to the red room ) ) )",go to the green room without entering a red room,& F C G ! R
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",go only through rooms that are not yellow to get to the red room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",make your way to the red room while avoiding the yellow room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",proceed to red area while avoiding the yellow area,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",move through the room that isn t yellow into the red room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",go to red area avoiding yellow area,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",don t go through the yellow room while going to the red room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",go into the red room without crossing the yellow room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",move to the red room but don t go through the yellow room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",the robot is to move towards the red room without entering a yellow room,& F R G ! Y
"and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the yellow room ) ) )",go to the red room without entering a yellow room,& F R G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",go only through rooms that are not yellow to get to the blue room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",make your way to the blue room while avoiding the yellow room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",proceed to blue area while avoiding the yellow area,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",move through the room that isn t yellow into the blue room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",go to blue area avoiding yellow area,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",don t go through the yellow room while going to the blue room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",go into the blue room without crossing the yellow room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",move to the blue room but don t go through the yellow room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",the robot is to move towards the blue room without entering a yellow room,& F B G ! Y
"and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )","and ( finally ( go to the blue room ) , globally ( not ( go to the yellow room ) ) )",go to the blue room without entering a yellow room,& F B G ! Y
"finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )",go through the green or red room to reach the blue room,F & | R C F B
"finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )",go the red or green room into the blue room,F & | R C F B
"finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )",move the robot from the pink room to the green or red room to the big blue room,F & | R C F B
"finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )","finally ( and ( or ( go to the red room , go to the green room ) , finally ( go to the blue room ) ) )",go through the red or green room to reach the blue room,F & | R C F B
